Artist,Name,Energy,BPM,Subgenre,ISRC,ACCESSIBILITY,EXPLICIT,TAGS
Paul Simon,50 Ways to Leave Your Lover,Medium,102,Benny's Evening;Capon's Chophouse (Lunch);Hotel Contessa Pool;Yacht Rock;Classic Rock;70s Pop,,TIMELESS,FAMILY,
Dee Sharp,Rising To The Top,Medium,88,Benny's Evening;Reggae Classics,,ECLECTIC,SUGGESTIVE,
Corey Hart,Sunglasses At Night,High,127,Benny's Evening;New Wave;80s Rock,,COMMERCIAL,FAMILY,
The English Beat,Can't Get Used to Losing You (2012 Remaster),Medium,113,Benny's Evening;New Wave;80s Rock,,TIMELESS,FAMILY,
The Cars,My Best Friend's Girl,High,120,Benny's Evening;New Wave,,TIMELESS,FAMILY,
Lord Echo,Rhythm 77,Medium,90,Benny's Evening;Modern Funk,,ECLECTIC,FAMILY,
Miike Snow,Animal (Mark Ronson Remix),Medium,117,Benny's Evening;2000s Indie Pop,,ECLECTIC,FAMILY,
Steely Dan,Hey Nineteen,Medium,120,Benny's Evening;Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,SUGGESTIVE,
Sonny & Cher,I Got You Babe,Medium,111,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
The Clash,Rudie Can't Fail (Remastered),High,97,Benny's Evening;New Wave;Classic Rock,,TIMELESS,SUGGESTIVE,
Disco Bahia,Bahia,Medium,93,Benny's Evening;Spanish Indie;2020s Indie Pop,,ECLECTIC,FAMILY,
Joe Jackson,Is She Really Going Out With Him?,High,116,Benny's Evening;New Wave,,TIMELESS,SUGGESTIVE,
Lord Echo,Street Knowledge,Medium,116,Benny's Evening;Modern Funk,,ECLECTIC,FAMILY,
Peter Frampton,Show Me The Way,Medium,130,Benny's Evening;Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
America,You Can Do Magic,Medium,130,Benny's Evening;Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
The Zombies,This Will Be Our Year,Medium,73,Benny's Evening;Classic Rock;Garage Rock (60s & 70s),,TIMELESS,FAMILY,
mtbrd,Wanna Be Your Lover,Medium,97,Benny's Evening;DTF (Hip-Hop);Nerina (Early);The Fix (Evening);Funk & Soul Classics;Funk Classics,,ECLECTIC,FAMILY,
Al Jarreau,Mornin',Medium,90,Benny's Evening;Capon's Chophouse (Dinner);Soul Classics;Funk & Soul Classics,,TIMELESS,FAMILY,
Ned Doheny,What Cha Gonna Do For Me,Medium,100,Benny's Evening;Yacht Rock,,TIMELESS,FAMILY,
Grace Jones,My Jamaican Guy,High,95,Benny's Evening;Reggae Classics;80s Pop,,TIMELESS,SUGGESTIVE,
The Alan Parsons Project,Eye In The Sky,Medium,112,Benny's Evening;Yacht Rock;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Barry Biggs,For The Love Of You,Medium,88,Benny's Evening;Roots Reggae;Reggae Classics,,TIMELESS,FAMILY,
Paul Simon,Kodachrome,High,136,Benny's Evening;Capon's Chophouse (Dinner);Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Billy Idol,Eyes Without A Face,Low,86,Benny's Evening;New Wave;80s Rock,,TIMELESS,SUGGESTIVE,
Ace,How Long,Medium,123,Benny's Evening;Capon's Chophouse (Lunch);Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
Supertramp,Goodbye Stranger (2010 Remastered),High,126,Benny's Evening;Classic Rock;Yacht Rock,,TIMELESS,SUGGESTIVE,
Sandra Reid,Don't Tell Me Tell Her,Medium,80,Benny's Evening;Roots Reggae;Reggae Classics,,ECLECTIC,FAMILY,
Mo' Horizons,Sunshine Today,Medium,104,Benny's Evening;Global Electronica (Non French);Afro Funk & Soul (Modern),,ECLECTIC,FAMILY,
Robert Palmer,Every Kinda People,Medium,94,Benny's Evening;Municipal Bar (Afternoon);Yacht Rock;80s Pop;80s Rock,,TIMELESS,FAMILY,
Harry Nilsson,Everybody's Talkin' (From Midnight Cowboy),Low,126,Benny's Evening;Hotel Contessa Pool;Laid-Back Legends;Yacht Rock;Classic Rock;Garage Rock (60s & 70s),,TIMELESS,FAMILY,
Paul McCartney,C Moon (2018 Remaster),Medium,92,Benny's Evening;Classic Rock,,TIMELESS,SUGGESTIVE,
Fleetwood Mac,Little Lies (Remastered),Medium,125,Benny's Evening;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
George Harrison,My Sweet Lord (2014 Remaster),Medium,121,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
The Neville Brothers,Yellow Moon,Medium,90,Benny's Evening;Soul Classics;Funk & Soul Classics,,TIMELESS,FAMILY,
Bebeto,Neguinho poeta,Medium,94,Benny's Evening;Latin Funk & Soul (Classic),,ECLECTIC,FAMILY,
Electric Light Orchestra,Evil Woman,High,120,Benny's Evening;Capon's Chophouse (Late Night);CS (Main);Classic Rock,,TIMELESS,SUGGESTIVE,
Orange Juice,Rip It Up,Medium,103,Benny's Evening;Hotel Contessa Pool;New Wave;80s Pop,,ECLECTIC,FAMILY,
Todd Rundgren,I Saw the Light,Medium,120,Benny's Evening;Hotel Contessa Pool;Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
Eddy Grant,Electric Avenue,High,122,Benny's Evening;Reggae Classics;80s Pop,,TIMELESS,SUGGESTIVE,
Little Roy,Come As You Are,Low,99,Benny's Evening;Reggae Classics,,ECLECTIC,SUGGESTIVE,
Pages,If I Saw You Again (2024 Remaster),Medium,110,Benny's Evening;Yacht Rock;Yacht Rock;Classic Rock,,ECLECTIC,FAMILY,
The Beach Boys,Don't Worry Baby (Remastered 2001),Medium,121,Benny's Evening;Hotel Contessa Pool;Laid-Back Legends;Classic Rock,,TIMELESS,FAMILY,
Paul Simon,Mother and Child Reunion,Medium,120,Benny's Evening;Laid-Back Legends;Classic Rock,,TIMELESS,FAMILY,
Jamiroquai,Seven Days in Sunny June,Medium,105,Benny's Evening;Capon's Chophouse (Dinner);Municipal Bar (Late Night);2000s Pop;Modern Funk,,TIMELESS,FAMILY,
Ernest Ranglin,Everybody's Talking,Medium,129,Benny's Evening;Stevensons;Roots Reggae,,ECLECTIC,FAMILY,
Van Morrison,Moondance (2013 Remaster),High,134,Benny's Evening;Capon's Chophouse (Dinner);Capon's Chophouse (Lunch);Classic Rock,,TIMELESS,SUGGESTIVE,
Carly Simon,Tranquillo (Melt My Heart),Medium,106,Benny's Evening;Capon's Chophouse (Dinner);Municipal Bar (Afternoon);Yacht Rock;Funk & Soul Classics;Disco Classics (70s and 80s),,TIMELESS,SUGGESTIVE,
The Velvet Underground,Oh! Sweet Nuthin' (2015 Remaster),Medium,76,Benny's Evening;Classic Rock;Garage Rock (60s & 70s),,TIMELESS,FAMILY,
Michael Franti & Spearhead,Say Hey (I Love You),High,93,Benny's Evening;Modern Reggae;Reggae Classics,,COMMERCIAL,SUGGESTIVE,
Queen,Cool Cat (Remastered 2011),Medium,74,Benny's Evening;Capon's Chophouse (Lunch);Hotel Contessa Pool;Laid-Back Legends;Sports & Social (Happy Hour);Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
Eric Clapton,I Shot The Sheriff,Medium,94,Benny's Evening;CS (Early);Classic Rock,,TIMELESS,FAMILY,
UB40,I Got You Babe,Medium,87,Benny's Evening;New Wave;80s Pop,,COMMERCIAL,FAMILY,
Tony benjamin,Treasures in This World,Medium,96,Benny's Evening;Reggae Classics;Roots Reggae,,ECLECTIC,FAMILY,
10cc,Dreadlock Holiday,High,105,Benny's Evening;Laid-Back Legends;Classic Rock;Yacht Rock,,CHEESY,SUGGESTIVE,
Glen Campbell,Southern Nights,Medium,95,Benny's Evening;Hotel Contessa Pool;Classic Country Pop;Yacht Rock,,TIMELESS,FAMILY,
The Beatles,Get Back (Remastered 2009),High,123,Benny's Evening;Classic Rock,,TIMELESS,SUGGESTIVE,
Paolo Nutini,Candy,Medium,125,Benny's Evening;Indie Folk,,TIMELESS,FAMILY,
Bob Marley & The Wailers,Is This Love (Montmartre Remix),Medium,92,Benny's Evening;Reggae Classics;Roots Reggae,,TIMELESS,FAMILY,
Jhelisa,Friendly Pressure (Album Version),Medium,90,Benny's Evening;Neo-Soul,,ECLECTIC,FAMILY,
Diana Ross,Let's Go Up,High,139,Benny's Evening;Capon's Chophouse (Lunch);Funk & Soul Classics;Disco Classics (70s and 80s),,TIMELESS,SUGGESTIVE,
Lenny Kravitz,Low,Medium,106,Benny's Evening;Classic Rock;2010s Indie Rock,,COMMERCIAL,FAMILY,
Eric Clapton,Cocaine,Medium,105,Benny's Evening;Classic Rock;Yacht Rock,,TIMELESS,SUGGESTIVE,
Janice Walker,You'll Never Need Somebody,Medium,92,Benny's Evening;Roots Reggae;Reggae Classics,,ECLECTIC,FAMILY,
The Rolling Stones,She's So Cold (Remastered 2009),High,70,Benny's Evening;Municipal Bar (Late Night);Classic Rock,,TIMELESS,FAMILY,
Eric Clapton,Promises,Medium,77,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
Copa 7,Mulher Absoluta,Medium,104,Benny's Evening;Latin Funk & Soul (Classic),,ECLECTIC,FAMILY,
Devon Russell,Move On Up,High,75,Benny's Evening;Reggae Classics;Roots Reggae,,ECLECTIC,FAMILY,
Paul McCartney,Band On The Run (2010 Remaster),High,125,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
Chosen Few,People Makes the World Go Round,Medium,89,Benny's Evening;Reggae Classics;Funk & Soul Classics,,TIMELESS,FAMILY,
Santana,Oye Como Va,High,128,Benny's Evening;Capon's Chophouse (Lunch);Laid-Back Legends;Classic Rock;Latin Funk & Soul (Classic),,TIMELESS,FAMILY,
Paul McCartney,Another Day,Medium,122,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
The Turtles,Elenore,Medium,122,Benny's Evening;Classic Rock;Garage Rock (60s & 70s),,TIMELESS,FAMILY,
Barrington Levy,Here I Come,High,85,Benny's Evening;Reggae Classics;Roots Reggae,,ECLECTIC,SUGGESTIVE,
Kool & The Gang,Too Hot,High,105,Benny's Evening;Yacht Rock;Funk & Soul Classics;Disco Classics (70s and 80s),,TIMELESS,SUGGESTIVE,
Kellee Patterson,"I'm Gonna Love You Just a Little More, Baby",Medium,99,Benny's Evening;Funk & Soul Classics;Disco Classics (70s and 80s),,ECLECTIC,FAMILY,
The Band,Stage Fright (Remastered 2000),Medium,114,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
Feist,Inside And Out,Medium,100,Benny's Evening;Close Company (Early);2000s Indie Pop;2000s Pop Rock,,TIMELESS,FAMILY,
Steely Dan,Dirty Work,Medium,73,Benny's Evening;Hotel Contessa Pool;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
The Police,Bring On The Night (Remastered 2003),Medium,109,Benny's Evening;New Wave;Classic Rock,,TIMELESS,FAMILY,
Tower Of Power,So Very Hard to Go,Medium,95,Benny's Evening;Soul Classics;Funk & Soul Classics,,TIMELESS,FAMILY,
The Replacements,Swingin Party (2008 Remaster),Medium,117,Benny's Evening;Close Company (Last Call);New Wave;80s Rock,,TIMELESS,FAMILY,
Sly & The Family Stone,If You Want Me to Stay,Medium,102,Benny's Evening;Municipal Bar (Afternoon);Funk & Soul Classics;Funk Classics,,TIMELESS,FAMILY,
Sharon Jones & The Dap-Kings,How Long Do I Have to Wait for You?,High,104,Benny's Evening;Capon's Chophouse (Lunch);Laid-Back Legends;Modern Soul;Soul Classics,,TIMELESS,FAMILY,
Michael McDonald,I Keep Forgettin' (Every Time You're Near),Medium,95,Benny's Evening;Capon's Chophouse (Lunch);Yacht Rock;Yacht Rock;70s Pop,,TIMELESS,FAMILY,
Quincy Jones,Something Special,Medium,103,Benny's Evening;Funk & Soul Classics;80s Pop,,TIMELESS,FAMILY,
UB40,Red Red Wine,Low,89,Benny's Evening;Laid-Back Legends;Sports & Social (Lunch);Modern Reggae;New Wave,,TIMELESS,SUGGESTIVE,
Classics IV,Stormy,Low,119,Benny's Evening;Classic Rock;Garage Rock (60s & 70s),,TIMELESS,FAMILY,
Neil Young,Heart of Gold,Low,85,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
Steve Winwood,Valerie,High,116,Benny's Evening;Hotel Contessa Pool;Yacht Rock;Classic Rock;80s Rock,,TIMELESS,FAMILY,
Seals and Crofts,Summer Breeze,Low,89,Benny's Evening;Capon's Chophouse (Dinner);Laid-Back Legends;Yacht Rock;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Lindsey Buckingham,Trouble,Medium,124,Benny's Evening;Close Company (Early);Classic Rock;80s Rock,,TIMELESS,FAMILY,
Steel Pulse,Your House,Medium,77,Benny's Evening;Reggae Classics;Roots Reggae,,ECLECTIC,FAMILY,
Climax Blues Band,Couldn't Get It Right,Medium,103,Benny's Evening;Hotel Contessa Pool;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Don Henley,The Boys Of Summer,Medium,89,Benny's Evening;80s Rock;80s Pop,,TIMELESS,FAMILY,
Thievery Corporation,San San Rock,Low,77,Benny's Evening;Modern Reggae,,ECLECTIC,FAMILY,
Bill Withers,The Same Love That Made Me Laugh,Medium,100,Benny's Evening;Soul Classics;Funk & Soul Classics,,TIMELESS,FAMILY,
The Mamas & The Papas,California Dreamin',Medium,113,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
Simon & Garfunkel,Cecilia,Medium,103,Benny's Evening;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Fleetwood Mac,Family Man (2017 Remaster),Medium,123,Benny's Evening;Classic Rock;80s Rock,,TIMELESS,FAMILY,
Carolyn Franklin,Sunshine Holiday,Medium,75,Benny's Evening;Soul Classics,,ECLECTIC,FAMILY,
Tommy Alverson,Una Mas Cerveza,Medium,135,Benny's Evening;Classic Country Pop,,ECLECTIC,FAMILY,
Eddie Harris,It's All Right Now,Medium,84,Benny's Evening;Funk Classics,,TIMELESS,FAMILY,
Lime Cordiale,Waking Up Easy,Medium,120,Benny's Evening;2010s Indie Pop,,COMMERCIAL,FAMILY,
Rod Stewart,Maggie May,Medium,129,Benny's Evening;Classic Rock,,TIMELESS,SUGGESTIVE,
KT Tunstall,Suddenly I See,High,100,Benny's Evening;Sports & Social (Lunch);2000s Indie Pop;2000s Pop Rock,,COMMERCIAL,FAMILY,
Sting,Sting - Heavy Cloud No Rain_PN,Medium,108,Benny's Evening;90s Rock,,TIMELESS,SUGGESTIVE,
Stephen Stills,Love the One You're With (Single),Medium,98,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
Sugar Ray,Into Yesterday (Album Version),Medium,91,Benny's Evening;2000s Pop Rock;2000s Pop,,COMMERCIAL,FAMILY,
Elvis Costello & The Attractions,(I Don't Want To Go To) Chelsea,High,83,Benny's Evening;New Wave,,TIMELESS,SUGGESTIVE,
Dire Straits,Once Upon A Time In The West,Low,73,Benny's Evening;Classic Rock;Yacht Rock,,TIMELESS,SUGGESTIVE,
Carl Carlton,Everlasting Love,High,121,Benny's Evening;Funk & Soul Classics;Disco Classics (70s and 80s),,TIMELESS,FAMILY,
Marion Black,Who Knows,Medium,82,Benny's Evening;Municipal Bar (Afternoon);Soul Classics,,ECLECTIC,FAMILY,
Classics IV,Spooky,Medium,107,Benny's Evening;Laid-Back Legends;Classic Rock;Psychedelic Rock,,TIMELESS,FAMILY,
Paul McCartney,Arrow Through Me (Remastered 1993),Medium,86,Benny's Evening;Hotel Contessa Pool;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
The Motels,Suddenly Last Summer (Remastered 2002),Medium,120,Benny's Evening;New Wave;80s Pop,,TIMELESS,SUGGESTIVE,
Tom Petty,I Won't Back Down,High,114,Benny's Evening;Yacht Rock;Classic Rock;80s Rock,,TIMELESS,FAMILY,
The Players,How Long (Has This Been Going On),Medium,120,Benny's Evening;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Young Gun Silver Fox,Mojo Rising,Medium,116,Benny's Evening;2010s Indie Rock;Yacht Rock,,TIMELESS,FAMILY,
Dusty Springfield,Spooky (Single Version),Low,106,Benny's Evening;Capon's Chophouse (Lunch);Soul Classics,,TIMELESS,FAMILY,
Steely Dan,FM,Medium,109,Benny's Evening;Yacht Rock;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Serge Gainsbourg,Daisy Temple,Low,129,Benny's Evening;Roots Reggae;French Funk & Soul,,ECLECTIC,FAMILY,
Sly & The Family Stone,Family Affair (Single Version),Medium,109,Benny's Evening;Funk & Soul Classics;Funk Classics,,TIMELESS,FAMILY,
Gerry Rafferty,Baker Street,Medium,114,Benny's Evening;Capon's Chophouse (Dinner);Yacht Rock;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Eagle-Eye Cherry,Save Tonight,Medium,120,Benny's Evening;Sports & Social (Lunch);90s Rock;90s alternative,,COMMERCIAL,FAMILY,
Jimmy Cliff,You Can Get It If You Really Want,High,128,"Benny's Evening;Waymore's (Punk, Ska & Adjacent);Yacht Rock;Roots Reggae;Reggae Classics",,TIMELESS,FAMILY,
Gerry Rafferty,Right Down the Line,Medium,128,Benny's Evening;Capon's Chophouse (Lunch);Yacht Rock;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Electric Light Orchestra,Showdown,High,114,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
David Bowie,Changes (2015 Remaster),Medium,114,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
The Smiths,Girlfriend in a Coma (2011 Remaster),Low,104,Benny's Evening;New Wave,,TIMELESS,SUGGESTIVE,
Salty Miller,Drink'n Wine & Feel'n Fine,High,130,Benny's Evening;Funk & Soul Classics,,ECLECTIC,SUGGESTIVE,
Toto,Rosanna,High,83,Benny's Evening;Capon's Chophouse (Dinner);Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,SUGGESTIVE,
Matt Duncan,The Keys,Medium,95,Benny's Evening;Capon's Chophouse (Lunch);Moxy Afternoon (NYC 2025);Yacht Rock;2010s Indie Rock;2010s Indie Pop,,TIMELESS,FAMILY,
Cornelius Brothers & Sister Rose,Too Late To Turn Back Now,High,115,Benny's Evening;Capon's Chophouse (Dinner);Soul Classics,,TIMELESS,FAMILY,
Joe Strummer & The Mescaleros,Get Down Moses,Medium,78,Benny's Evening;New Wave;Roots Reggae,,ECLECTIC,FAMILY,
Queen,39 (Remastered 2011),Medium,102,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
10cc,The Things We Do For Love,High,107,Benny's Evening;Capon's Chophouse (Dinner);Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Bryan Ferry,Kiss And Tell (Edit),Medium,124,Benny's Evening;80s Rock;New Wave,,TIMELESS,FAMILY,
Buddy Holly,Well...All Right (Single Version),Medium,123,Benny's Evening;Rockabilly,,TIMELESS,FAMILY,
Toto,Georgy Porgy,Medium,97,Benny's Evening;Capon's Chophouse (Dinner);Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
Cage The Elephant,Cigarette Daydreams,Medium,114,Benny's Evening;2010s Indie Rock,,TIMELESS,FAMILY,
Jamiroquai,Summer Girl,Medium,114,Benny's Evening;Modern Funk;2010s Pop,,TIMELESS,FAMILY,
Jimmy Buffett,Boat Drinks,Medium,126,Benny's Evening;Classic Country Pop;Classic Rock,,CHEESY,FAMILY,
Sly & Robbie,Inner City Blues,Medium,87,Benny's Evening;Reggae Classics;Roots Reggae,,TIMELESS,FAMILY,
Roy Ayers,Everybody Loves The Sunshine,Medium,81,Benny's Evening;Funk & Soul Classics,,TIMELESS,FAMILY,
XTC,Senses Working Overtime (Remastered 2001),High,130,Benny's Evening;New Wave,,TIMELESS,FAMILY,
Nick Lowe,I Love the Sound of Breaking Glass,High,107,Benny's Evening;Municipal Bar (Afternoon);New Wave,,ECLECTIC,FAMILY,
Kenny Loggins,This Is It,High,102,Benny's Evening;Yacht Rock;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
The Police,Don't Stand So Close To Me,Medium,140,"Benny's Evening;Waymore's (Punk, Ska & Adjacent);New Wave;80s Rock",,TIMELESS,FAMILY,
Little River Band,Reminiscing (Remastered 2010),Medium,94,Benny's Evening;Laid-Back Legends;Classic Rock,,TIMELESS,FAMILY,
Blondie,The Tide Is High,Medium,97,Benny's Evening;Capon's Chophouse (Lunch);New Wave;80s Pop,,TIMELESS,FAMILY,
Ben E. King,"Supernatural Thing, Pt. 1",High,95,Benny's Evening;Municipal Bar (Morning);Funk & Soul Classics,,TIMELESS,SUGGESTIVE,
Ambrosia,Biggest Part of Me,Medium,77,Benny's Evening;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Boz Scaggs,What Can I Say,Medium,115,Benny's Evening;Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Lee Fields & The Expressions,Never Be Another You,Medium,79,Benny's Evening;Municipal Bar (Afternoon);Modern Soul;Soul Classics,,TIMELESS,FAMILY,
Guts,And the Living Is Easy,Medium,115,Benny's Evening;Playlist Pairings;Modern Funk;Global Electronica (Non French),,ECLECTIC,FAMILY,
Sting,Love Is The Seventh Wave,Medium,81,Benny's Evening;80s Pop;80s Rock,,COMMERCIAL,FAMILY,
Wilco,When You Wake up Feeling Old,Medium,118,Benny's Evening;Municipal Bar (Afternoon);2000s Indie Rock,,TIMELESS,FAMILY,
Counting Crows,Big Yellow Taxi,Medium,88,Benny's Evening;2000s Pop Rock,,COMMERCIAL,FAMILY,
The Jeremy Spencer Band,Cool Breeze,Medium,108,Benny's Evening;Municipal Bar (Afternoon);Yacht Rock;Classic Rock,,TIMELESS,FAMILY,
Barry Biggs,Love Come Down,Medium,85,Benny's Evening;Reggae Classics;Roots Reggae,,ECLECTIC,SUGGESTIVE,
Prince,My Love Is Forever,Medium,104,Benny's Evening;Yacht Rock;Funk & Soul Classics;70s Pop,,TIMELESS,FAMILY,
Fine Young Cannibals,She Drives Me Crazy,High,109,Benny's Evening;Sports & Social (Happy Hour);80s Rock;New Wave,,TIMELESS,FAMILY,
Red Hot Chili Peppers,If You Want Me To Stay (Remastered),Medium,100,Benny's Evening;Laid-Back Legends;80s Rock,,TIMELESS,FAMILY,
Bebeto,Segura Nega (Cutuca Nega),Medium,87,Benny's Evening;Latin Funk & Soul (Classic),,ECLECTIC,SUGGESTIVE,
Santana,Black Magic Woman (Single Version),Medium,125,Benny's Evening;Latin Funk & Soul (Classic);Classic Rock,,TIMELESS,SUGGESTIVE,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
